,id,age,ova,pot,value,release clause,total stats,base stats
83,52797,34,71,71,725000,1100000,1970,397
84,53014,35,74,74,1200000,2600000,1876,391
85,53050,35,74,74,2600000,5700000,1766,367
86,53110,36,71,71,400000,720000,1182,377
87,53302,35,82,82,700000,9800000,2083,427
88,53412,33,63,63,150000,263000,1478,301
89,53578,32,74,74,3200000,5500000,1860,395
90,53593,35,67,67,180000,333000,1851,375
91,53604,36,65,65,70000,123000,1375,281
92,53612,32,80,80,8500000,16200000,1537,322
93,53630,34,74,74,1700000,2600000,1848,393
94,53655,38,65,65,190000,238000,1546,316
95,53669,38,60,60,70000,123000,1633,333
96,53736,34,67,67,325000,618000,1183,371
97,53739,37,70,70,180000,342000,1273,389
98,53818,36,64,64,140000,259000,1754,361
99,53914,37,72,72,625000,1200000,1714,318
100,53985,47,48,48,3000,5000,852,250
101,54013,34,70,70,900000,1700000,1873,384
102,54033,32,71,71,1600000,300000,1834,374
103,54037,37,64,64,45000,77000,951,342
104,54050,34,77,77,4300000,8200000,2075,421
105,54051,35,69,69,450000,855000,1735,361
106,101317,38,63,63,35000,56000,1036,333
107,101473,36,69,69,140000,266000,1140,372
108,101880,38,70,70,120000,222000,1062,372
109,102056,35,70,70,500000,775000,1956,405
110,102881,40,57,57,10000,13000,1026,309
111,103935,32,75,75,500000,10500000,1977,401
112,104389,35,77,77,2400000,4100000,1203,424
113,104442,36,68,68,300000,525000,1768,373
114,104476,36,66,66,200000,250000,1779,353
115,104900,41,59,59,15000,22000,931,299
116,105308,41,67,67,80000,120000,1184,380
117,105827,36,66,66,230000,311000,1595,319
118,105846,40,73,73,400000,560000,1160,389
119,105866,35,68,68,210000,326000,1609,316
120,106231,38,81,81,6500000,13700000,1952,402
121,107084,35,65,65,150000,255000,1050,350
122,107298,37,72,72,325000,618000,1137,393
123,107647,34,74,74,1700000,2700000,1999,410
124,108061,34,69,69,400000,600000,1888,397
125,108080,35,72,72,875000,1500000,1931,403
126,110376,34,71,71,1200000,1900000,1858,373
127,110381,39,74,74,1500000,2300000,1933,401
128,110606,38,66,66,70000,109000,1137,363
129,110638,41,73,73,400000,880000,1190,405
130,110677,36,78,78,1700000,3600000,1216,430
131,110680,37,68,68,180000,396000,1562,322
132,110787,37,69,69,70000,308000,1758,360
133,110974,36,71,71,400000,640000,1228,406
134,111093,34,71,71,1200000,1900000,1807,369
135,111125,35,69,69,250000,375000,1355,289
136,111206,35,69,69,230000,391000,1815,376
137,111328,36,60,60,35000,61000,1092,323
138,112244,36,71,71,750000,1500000,1792,353
139,112253,33,78,78,4200000,800000,1829,374
140,112316,35,81,81,5500000,1100000,2049,430
141,112847,35,73,73,950000,1400000,2015,425
142,113422,37,79,79,3700000,5900000,1951,400
143,114356,36,66,66,110000,165000,1093,364
144,114764,37,75,75,450000,945000,1120,405
145,115533,35,74,74,1500000,2900000,1189,398
146,115909,39,71,71,700000,1100000,1814,369
147,116308,38,70,70,350000,508000,1798,374
148,116314,34,66,66,275000,523000,1157,364
149,116494,35,79,79,300000,5700000,1161,426
150,118646,35,66,66,300000,525000,1748,363
151,118794,35,65,65,150000,278000,1063,352
152,120243,40,62,62,30000,54000,1110,339
153,120312,36,69,69,210000,399000,1377,278
154,120533,37,81,81,3600000,7200000,1856,404
155,121134,37,71,71,240000,360000,1194,392
156,121170,36,70,70,625000,781000,1686,345
157,121185,34,68,68,275000,392000,1659,337
158,121933,33,78,78,500000,8500000,1114,409
159,121937,35,70,70,475000,855000,1153,384
160,122066,37,63,63,130000,189000,1475,302
161,122574,35,63,63,100000,175000,1808,371
162,122849,36,71,71,850000,1700000,1748,372
163,123576,35,77,77,4100000,7300000,1751,362
164,123603,39,69,69,140000,224000,1542,315
165,123621,33,72,72,1300000,200000,1915,400
166,124375,34,78,78,5500000,10500000,1921,406
167,124635,34,74,74,2200000,4200000,1919,396
168,124949,32,69,69,575000,1200000,1904,399
169,125871,30,75,75,5500000,10500000,1908,411
170,125995,37,68,68,325000,650000,1652,343
171,129566,34,65,65,200000,350000,1515,307
172,132740,35,75,75,1800000,2300000,1358,417
173,134744,37,76,76,1700000,3400000,2005,424
174,134779,34,75,75,3500000,6700000,1922,401
175,134820,35,75,75,2100000,3800000,1915,407
176,134941,34,71,71,1200000,2200000,1922,390
177,135043,36,67,67,130000,163000,1248,386
178,135466,36,70,70,70000,504000,1172,390
179,135507,35,84,84,9500000,17600000,2192,456
180,135697,35,77,77,4100000,8600000,1909,397
181,135742,33,69,69,500000,775000,1637,336
182,135883,34,74,74,2100000,400000,1770,371
183,136113,36,73,73,800000,1500000,1396,306
184,136144,34,77,77,4500000,900000,1748,369
185,136686,37,68,68,90000,113000,1197,385
186,137166,34,61,61,110000,209000,1043,336
187,137186,37,83,83,1700000,5800000,1727,381
188,137262,33,75,75,4200000,7100000,1820,378
189,137351,35,77,77,2800000,4800000,1938,400
190,137361,35,69,69,475000,855000,1672,336
191,137373,37,71,71,110000,486000,1867,386
192,137380,33,68,68,150000,560000,1806,374
193,137494,35,75,75,3100000,4800000,1928,410
194,137506,36,72,72,1100000,200000,1804,355
195,137677,35,74,74,1500000,2900000,1293,418
196,137782,32,73,73,2200000,4200000,1977,420
197,137785,32,74,74,3200000,6100000,1585,319
198,137809,34,76,76,4100000,7700000,1874,393
199,137987,33,66,66,250000,377000,1472,306
200,138026,30,69,69,675000,979000,1064,367
201,138110,38,72,72,625000,1100000,1927,379
202,138412,34,80,80,700000,1300000,2167,441
203,138436,34,71,71,1200000,2400000,1876,386
204,138456,33,76,76,4700000,10100000,1970,409
205,138460,35,72,72,950000,2100000,1733,370
206,138722,33,65,65,240000,444000,1744,361
207,138782,34,69,69,500000,950000,1876,381
208,138798,38,72,72,325000,455000,1253,394
209,138806,36,68,68,325000,569000,1647,338
210,138830,36,65,65,100000,175000,1648,340
211,138871,39,69,69,300000,465000,1750,353
212,138949,37,72,72,625000,1400000,1619,337
213,138956,35,87,87,15500000,25600000,1830,399
214,138984,33,72,72,200000,4300000,1660,352
215,139057,36,68,68,100000,150000,1864,396
216,139062,38,75,75,675000,1300000,1235,412
217,139064,38,73,73,875000,1200000,1939,387
218,139068,33,80,80,900000,13500000,1971,416
219,139229,39,68,68,120000,198000,1790,356
220,139257,35,67,67,210000,263000,1129,365
221,139274,37,70,70,350000,753000,1367,291
222,139296,35,66,66,300000,570000,1682,337
223,139313,34,73,73,1400000,2700000,2024,402
224,139317,37,58,58,45000,79000,1480,302
225,139368,35,66,66,200000,350000,1511,320
226,139533,33,69,69,400000,760000,1837,386
227,139609,35,64,64,200000,350000,1744,359
228,139668,37,71,71,240000,432000,1226,394
229,139720,33,82,82,10500000,15800000,1849,395
230,139799,39,72,72,900000,1400000,1790,357
231,139860,36,75,75,1300000,2600000,1845,383
232,139866,35,66,66,200000,350000,1316,283
233,139869,33,83,83,15500000,29500000,1964,409
234,139997,36,78,78,1200000,200000,2173,453
235,140082,38,73,73,400000,880000,1096,392
236,140181,40,65,65,50000,63000,990,349
237,140200,39,61,61,70000,88000,1570,307
238,140233,34,79,79,5500000,9400000,1242,432
239,140293,36,78,78,1700000,3600000,1216,421
240,140384,32,74,74,4500000,5600000,1779,375
241,140422,34,63,63,140000,245000,1483,319
242,140497,34,67,67,375000,656000,1850,372
243,140498,35,72,72,850000,1600000,1163,400
244,140620,34,74,74,2100000,3600000,1689,348
245,141111,35,68,68,400000,580000,1779,371
246,141286,35,71,71,750000,1700000,1840,388
247,142244,31,64,64,300000,435000,1577,335
248,142258,34,72,72,1400000,2100000,1189,396
249,142270,37,65,65,100000,125000,1729,354
250,142329,33,70,70,725000,1200000,1756,366
251,142333,39,60,60,20000,31000,1021,326
252,142454,33,66,66,375000,581000,1848,362
253,142499,35,71,71,750000,1200000,1916,395
254,142707,37,78,78,3700000,5200000,2017,418
255,142720,37,71,71,425000,638000,1826,382
256,142721,35,75,75,1800000,3100000,1191,397
257,142754,36,79,79,2700000,4100000,1948,405
258,142780,35,72,72,950000,1400000,1709,362
259,142784,34,74,74,200000,3800000,1941,395
260,142822,36,69,69,325000,488000,1812,392
261,142902,36,76,76,1300000,2700000,1220,424
262,142938,35,71,71,1100000,1600000,1679,331
263,142950,37,70,70,575000,834000,1826,382
264,142959,34,75,75,2900000,6100000,1216,416
265,142966,36,73,73,1300000,200000,1842,378
266,143001,36,78,78,3700000,5200000,1962,423
267,143076,32,86,86,34500000,58700000,2065,435
268,143119,36,71,71,850000,1300000,1752,354
269,143121,35,78,78,4300000,8200000,2079,432
270,143283,37,73,73,1100000,2200000,1911,392
271,143598,38,71,71,240000,348000,1044,372
272,143617,32,70,70,1400000,2800000,1978,407
273,143632,36,74,74,750000,1400000,1214,397
274,143699,35,76,76,2200000,4200000,2037,431
275,143745,33,74,74,3400000,6500000,2016,412
276,144010,34,66,66,250000,500000,1860,386
277,144021,36,67,67,140000,203000,1733,373
278,144050,36,67,67,275000,399000,1719,355
279,144172,35,75,75,1800000,3600000,1189,417
280,144200,29,72,72,2600000,5200000,1969,417
281,144429,34,75,75,2300000,3900000,2005,415
282,144622,34,76,76,4100000,700000,1954,394
283,145020,37,70,70,120000,528000,1823,369
284,145889,33,71,71,1100000,1800000,1799,385
285,146058,35,68,68,400000,640000,1798,371
286,146111,35,73,73,1700000,3700000,1938,395
287,146296,33,78,78,5500000,12100000,1330,434
288,146439,34,76,76,4100000,900000,1876,389
289,146453,34,67,67,220000,352000,1813,394
290,146460,36,69,69,230000,368000,1820,367
291,146482,33,80,80,8500000,17900000,1906,388
292,146530,35,82,82,4800000,8900000,2205,456
293,146536,34,84,84,1100000,23100000,2170,456
294,146637,35,72,72,850000,1400000,1112,388
295,146748,38,76,76,775000,1200000,1200,414
296,146758,35,76,76,3500000,7400000,1914,388
297,146760,33,80,80,5500000,11300000,2050,439
298,146947,27,75,76,7500000,16300000,1852,400
299,146952,36,77,77,1500000,2400000,1281,430
300,146954,33,81,81,10500000,21500000,2116,440
301,146963,37,76,76,1600000,2200000,1985,421
302,146969,36,63,63,70000,98000,1399,277
303,146996,36,74,74,950000,200000,1252,412
304,147006,37,76,76,2600000,3300000,1942,389
305,147621,33,76,76,4700000,9800000,1994,418
306,148119,34,80,80,6500000,10400000,1243,443
307,148212,36,70,70,300000,480000,1126,376
308,148253,33,73,73,1500000,2300000,1928,409
309,148526,36,75,75,1100000,2300000,1237,417
310,148569,39,68,68,120000,162000,1542,317
311,148634,36,63,63,50000,73000,1006,340
312,148711,37,77,77,600000,2400000,1614,338
313,148803,36,74,74,200000,2800000,1761,356
314,149064,35,69,69,300000,465000,1809,373
315,149184,38,74,74,100000,1800000,2019,427
316,149185,35,75,75,2100000,3600000,1863,387
317,149258,37,72,72,325000,585000,951,373
318,149306,33,69,69,650000,100000,1753,364
319,149309,37,69,69,110000,187000,1059,352
320,149662,38,56,56,20000,31000,1082,233
321,149667,33,67,67,475000,689000,1769,361
322,149721,38,63,63,35000,54000,1056,337
323,149791,38,66,66,220000,385000,1699,343
324,149825,36,67,67,275000,481000,1652,333
325,150106,35,68,68,275000,578000,1707,351
326,150278,38,72,72,210000,378000,1041,368
327,150418,33,74,74,3500000,5600000,1710,360
328,150477,35,72,72,850000,1600000,1188,386
329,150516,35,75,75,2900000,5800000,1967,409
330,150594,35,67,67,350000,508000,1506,301
331,150656,33,73,73,950000,3600000,1855,386
332,150659,37,68,68,90000,158000,1155,383
333,150724,33,75,75,3600000,6800000,1245,421
334,150995,34,62,62,110000,176000,1517,333
335,151270,39,66,66,170000,298000,1783,352
336,151508,35,71,71,100000,1800000,1903,381
337,152038,34,66,66,325000,406000,1761,373
338,152107,34,65,65,200000,290000,1558,332
339,152181,36,66,66,90000,144000,1101,354
340,152454,32,64,64,350000,613000,1864,399
341,152536,33,69,69,500000,950000,1932,393
342,152554,33,76,76,3500000,6700000,1898,408
343,152567,34,71,71,900000,1700000,1941,392
344,152603,37,65,65,160000,238000,1646,342
345,152621,34,64,64,170000,213000,1564,335
346,152718,33,71,71,1500000,3200000,1846,392
347,152729,33,86,86,2100000,43100000,1991,422
348,152747,33,73,73,2400000,4800000,1843,389
349,152814,33,73,73,2500000,500000,1775,366
350,152879,33,75,75,3900000,7400000,1988,397
351,152908,34,77,77,4500000,7400000,2081,429
352,152912,39,75,75,1900000,2900000,1768,365
353,152914,38,73,73,1100000,200000,1792,352
354,152916,36,76,76,2600000,4400000,1973,410
355,152922,34,71,71,1200000,2200000,1944,399
356,152991,35,64,64,190000,333000,1787,363
357,152993,36,72,72,625000,906000,1680,347
358,152996,33,76,76,3700000,4800000,1882,391
359,152997,36,74,74,200000,2800000,1889,376
360,152999,38,75,75,2400000,4300000,2003,406
361,153048,29,75,75,6500000,8500000,1851,379
362,153060,35,71,71,725000,100000,1544,318
363,153062,36,62,62,100000,215000,1677,340
364,153079,32,89,89,5300000,98100000,2118,439
365,153177,33,76,76,4800000,6700000,1988,418
366,153244,34,81,81,9500000,15200000,2018,424
367,153275,34,73,73,1800000,3600000,1162,404
368,153296,31,74,74,4900000,9900000,1899,387
369,153938,36,68,68,160000,304000,1853,384
370,154472,38,78,78,3700000,7800000,1780,370
371,154634,36,74,74,650000,1200000,1996,414
372,155355,31,73,73,3500000,4600000,1884,399
373,155524,32,68,68,575000,1100000,1459,305
374,155532,31,70,70,1100000,2100000,1138,394
375,155533,35,67,67,350000,613000,1606,338
376,155657,35,66,66,200000,270000,1679,338
377,155757,33,64,64,275000,344000,1780,369
378,155862,34,89,89,24500000,50200000,2258,463
379,155871,32,72,72,1900000,3600000,1160,393
380,155885,34,70,70,900000,1600000,1865,386
381,155886,32,65,65,325000,618000,1148,363
382,155887,32,75,75,4400000,6600000,1953,408
383,155897,34,76,76,3400000,5800000,1891,390
384,155930,32,69,69,825000,1300000,1775,367
385,155946,32,77,77,700000,13300000,1986,411
386,155964,36,65,65,190000,238000,1766,367
387,155976,33,67,67,450000,855000,1850,367
388,155984,33,75,75,3200000,6700000,1904,387
389,156142,31,78,78,900000,18900000,2010,422
390,156164,33,67,67,350000,648000,1622,349
391,156165,32,65,65,350000,613000,1477,314
392,156253,32,72,72,1900000,3300000,1266,413
393,156321,38,65,65,190000,352000,1585,332
394,156375,38,70,70,475000,960000,1827,378
395,156408,35,66,66,180000,261000,1655,352
396,156412,39,75,75,675000,1100000,1192,407
397,156432,36,74,74,200000,2900000,1854,373
398,156433,37,74,74,575000,978000,1321,422
399,156437,35,73,73,1100000,1900000,1229,396
400,156438,38,64,64,45000,68000,1082,351
401,156464,34,66,66,240000,444000,1381,293
402,156478,38,65,65,170000,213000,1787,357
403,156483,42,71,71,240000,348000,1324,399
404,156507,37,68,68,90000,153000,1303,379
405,156519,30,81,81,16500000,33800000,2147,458
406,156616,37,81,81,6500000,11100000,1915,399
407,156623,28,72,72,3100000,600000,1736,375
408,156713,35,72,72,950000,1200000,1674,346
409,156722,34,75,75,200000,4300000,1936,396
410,156894,35,65,65,230000,403000,1880,384
411,156975,34,68,68,325000,569000,1387,290
412,156988,33,71,71,950000,1500000,1922,396
413,157190,35,52,52,20000,31000,1470,288
414,157301,33,77,77,5500000,10500000,1979,424
415,157304,34,75,75,2500000,3300000,1858,392
416,157310,34,67,67,375000,750000,1856,378
417,157393,33,68,68,375000,656000,1757,370
418,157412,37,69,69,275000,595000,1799,358
419,157479,36,72,72,575000,1300000,1914,401
420,157481,34,82,82,800000,16800000,1754,372
421,157492,36,72,72,100000,1700000,1772,364
422,157503,31,70,70,1300000,1900000,1829,388
423,157528,33,69,69,650000,943000,1866,387
424,157581,32,73,73,2200000,3200000,1950,406
425,157597,32,68,68,675000,1200000,1732,359
426,157665,33,73,73,1900000,3600000,1476,307
427,157678,34,69,69,400000,600000,1842,375
428,157703,34,68,68,325000,520000,1694,334
429,157707,34,68,68,475000,594000,1705,350
430,157716,33,72,72,1500000,2600000,1487,311
431,157734,33,67,67,400000,700000,1178,388
432,157888,34,69,69,450000,675000,1113,382
433,157931,36,65,65,180000,225000,1851,381
434,157960,32,79,79,1000000,2100000,2139,450
435,158023,33,93,93,67500000,138400000,2231,466
436,158121,32,79,79,7500000,14300000,1190,439
437,158133,34,77,77,4500000,6800000,1991,419
438,158138,33,73,73,2400000,3800000,1907,388
439,158144,36,74,74,1800000,2900000,1837,372
440,158167,33,67,67,350000,525000,1620,343
441,158221,37,70,70,350000,543000,1762,364
442,158232,33,76,76,4700000,800000,1898,391
443,158293,39,68,68,130000,208000,1824,364
444,158309,34,67,67,400000,620000,1850,389
445,158370,36,66,66,230000,357000,1613,330
446,158372,33,74,74,3400000,4800000,1928,397
447,158375,33,71,71,1100000,1700000,1939,401
448,158394,33,69,69,475000,736000,1883,400
449,158438,32,76,76,500000,8500000,1918,403
450,158525,32,66,66,525000,788000,1607,332
451,158543,36,69,69,375000,638000,1798,369
452,158625,36,76,76,1600000,300000,1786,366
453,158626,34,78,78,3600000,7200000,2068,430
454,158777,34,72,72,1400000,2400000,1141,393
455,158800,33,73,73,1900000,2900000,1908,384
456,158810,35,73,73,1300000,2500000,1915,387
457,158851,35,72,72,875000,1200000,2007,431
458,158856,34,74,74,2700000,4900000,1948,395
459,158902,34,67,67,275000,481000,1745,344
460,158905,33,74,74,2700000,3400000,1979,389
461,158942,34,75,75,2300000,5100000,2034,438
462,158956,35,71,71,725000,100000,1800,371
463,158963,34,77,77,3400000,6800000,2010,408
464,159034,34,70,70,650000,813000,1574,321
465,159043,34,66,66,325000,569000,1687,347
466,159065,34,80,80,800000,12400000,2045,427
467,159067,38,69,69,375000,806000,1648,351
468,159080,33,67,67,450000,788000,1894,380
469,159145,34,80,80,800000,13600000,1905,402
470,159147,33,78,78,4900000,9300000,1905,390
471,159171,34,70,70,900000,200000,1747,356
472,159175,36,77,77,1900000,3400000,1905,399
473,159195,36,64,64,160000,272000,1552,327
474,159202,34,68,68,325000,553000,1814,376
475,159240,35,73,73,1700000,2700000,1995,409
476,159261,37,80,80,5500000,9900000,1920,397
477,159287,33,78,78,4200000,7100000,2003,414
478,159354,33,64,64,275000,399000,1636,343
479,159413,34,73,73,2100000,3300000,1908,409
480,159566,33,66,66,325000,536000,1777,380
481,159577,36,62,62,40000,62000,1286,266
482,159581,32,67,67,600000,930000,1743,361
483,159599,33,62,62,140000,245000,1606,346
484,159818,34,67,67,375000,619000,1765,355
485,160121,33,67,67,375000,641000,1633,344
486,160292,34,70,70,675000,1200000,1864,374
487,160295,37,66,66,45000,50000,1136,362
488,160741,33,76,76,3600000,6100000,1845,394
489,160766,32,70,70,1400000,2500000,1686,354
490,161644,32,70,70,100000,1600000,1721,364
491,161648,33,75,75,400000,8400000,1899,392
492,161663,37,73,73,400000,560000,1266,400
493,161754,33,75,75,3200000,6700000,1910,396
494,161793,30,74,74,3600000,11600000,1789,365
495,161805,35,75,75,2100000,3800000,2009,413
496,161857,33,69,69,475000,689000,1887,399
497,161938,33,76,76,4800000,8200000,1807,378
498,161956,35,77,77,3900000,6600000,1965,399
499,162047,35,66,66,275000,440000,1848,376
500,162052,35,67,67,210000,263000,1128,369
501,162053,34,66,66,240000,420000,1490,323
502,162123,33,73,73,1600000,2400000,1636,338
503,162131,35,75,75,3100000,5300000,1585,335
504,162220,31,75,75,4300000,6500000,1255,420
505,162223,33,69,69,650000,813000,1714,360
506,162240,32,80,80,1100000,17100000,2152,457
507,162265,37,65,65,50000,70000,1171,357
508,162280,33,75,75,400000,6200000,2000,417
509,162297,34,73,73,1800000,300000,1043,397
510,162315,34,64,64,170000,298000,1587,335
511,162328,36,73,73,675000,100000,1247,417
512,162329,35,74,74,1800000,3100000,1962,408
513,162347,33,83,83,1500000,28500000,2180,438
514,162365,32,64,64,300000,435000,1480,297
515,162369,35,75,75,3100000,5300000,1870,378
516,162409,33,73,73,2500000,3600000,1766,361
517,162512,33,64,64,210000,368000,1441,314
518,162835,35,88,88,1600000,26400000,1317,477
519,162890,32,71,71,1400000,200000,1818,381
520,162893,32,71,71,1500000,2200000,1554,331
521,162895,33,75,75,3900000,7400000,1895,378
522,162899,35,63,63,110000,193000,1615,336
523,162900,34,67,67,375000,469000,1822,365
524,162901,35,65,65,150000,263000,1078,355
525,162926,35,70,70,750000,1400000,1859,385
526,162952,41,67,67,80000,120000,1138,375
527,162981,32,71,71,1800000,3500000,1911,391
528,162993,34,63,63,140000,245000,1639,346
529,163050,34,73,73,2100000,400000,1792,367
530,163083,34,73,73,1500000,300000,1584,322
531,163143,36,65,65,120000,210000,1664,330
532,163155,37,79,79,1300000,2300000,1274,438
533,163186,36,71,71,500000,750000,1960,400
534,163201,35,67,67,210000,399000,1026,366
535,163209,32,72,72,2500000,4400000,2013,415
536,163261,35,73,73,1100000,2100000,1853,386
537,163264,34,78,78,4500000,8600000,1304,441
538,163297,32,71,71,1800000,2500000,1829,385
539,163301,34,77,77,3900000,6600000,1543,444
540,163303,36,67,67,160000,280000,1794,360
541,163340,34,67,67,400000,700000,1695,345
542,163342,33,64,64,275000,344000,1689,350
543,163369,31,68,68,650000,975000,1909,397
544,163396,31,64,64,400000,700000,1739,365
545,163419,36,71,71,425000,638000,1914,401
546,163488,36,74,74,100000,2200000,2031,428
547,163489,33,81,81,9500000,16200000,1206,438
548,163530,33,65,65,220000,385000,1703,344
549,163581,35,64,64,140000,245000,1474,310
550,163587,33,84,84,1700000,32300000,1366,464
551,163600,33,70,70,950000,1800000,1092,390
552,163616,34,68,68,400000,500000,1197,376
553,163619,32,69,69,825000,1400000,1944,414
554,163625,34,66,66,250000,438000,1832,372
555,163631,34,75,75,2300000,4400000,2059,408
556,163665,35,74,74,1700000,3400000,1623,349
557,163694,33,65,65,325000,536000,1827,383
558,163699,36,74,74,1900000,3800000,2074,431
559,163705,35,83,83,700000,13300000,1287,453
560,163711,33,78,78,4200000,7800000,1926,412
561,163761,35,70,70,550000,100000,1513,322
562,163768,36,60,60,70000,123000,1736,348
563,163791,32,68,68,525000,919000,1105,381
564,163804,35,69,69,450000,788000,1827,366
565,163806,33,74,74,300000,6300000,1212,409
566,163828,33,70,70,1100000,1400000,1788,367
567,163873,36,72,72,525000,1100000,1221,399
568,163925,37,75,75,2200000,2800000,1878,384
569,164029,35,78,78,4800000,10100000,1860,379
570,164041,33,71,71,1200000,1900000,1053,382
571,164079,35,72,72,725000,1200000,1849,363
572,164082,35,74,74,1600000,2400000,2045,424
573,164169,32,85,85,21500000,44100000,2141,452
574,164240,35,85,85,11500000,21900000,2037,420
575,164376,34,75,75,3500000,5600000,1815,366
576,164435,33,78,78,6500000,11100000,1967,396
577,164459,35,73,73,1700000,2100000,2036,405
578,164462,33,69,69,500000,725000,1654,356
579,164464,35,74,74,2600000,3900000,1814,374
580,164467,33,64,64,275000,481000,1798,361
581,164468,34,77,77,3300000,6300000,1699,358
582,164469,30,69,69,100000,1900000,1705,374
583,164470,35,70,70,575000,891000,1836,372
584,164471,34,71,71,1200000,2600000,1675,336
585,164477,33,72,72,1800000,3400000,1947,408
586,164491,32,73,73,2600000,4200000,2008,416
587,164505,35,72,72,850000,1300000,1192,395
588,164529,36,67,67,150000,218000,1614,330
589,164559,37,68,68,325000,471000,1713,342
590,164610,36,67,67,160000,240000,1765,355
591,164633,34,70,70,650000,813000,1809,368
592,164645,33,60,60,120000,210000,1594,325
593,164766,32,68,68,550000,100000,1765,379
594,164769,33,70,70,1100000,2100000,1701,351
595,164835,35,81,81,4800000,9100000,1256,443
596,164852,29,74,74,5500000,8800000,1886,391
597,164853,35,70,70,475000,594000,1310,392
598,164855,31,68,68,675000,1200000,1619,343
599,164859,31,76,76,700000,13300000,1904,402
600,164878,34,73,73,200000,300000,1890,382
601,164959,34,73,73,1500000,2300000,1949,408
602,164994,34,74,74,2800000,3800000,1997,414
603,165109,33,78,78,4900000,8300000,1930,410
604,165153,32,89,89,5300000,108700000,2111,442
605,165174,31,74,74,3800000,6500000,2029,415
606,165190,33,67,67,375000,469000,1848,379
607,165191,32,70,70,1400000,2800000,1811,378
608,165229,34,79,79,4700000,8900000,1788,379
